,Family,Protein_Name,Protein_ID,Localization,Topology,TM_Segment_Helix,Hydrophobic_Thickness_or_Depth,Tilt_Angle,deltaGfold,kcal_mol
1260,Cytochrome c oxidase assembly factor 3,Cytochrome c oxidase assembly factor 3 h...,COA3_HUMAN,Mito. inner memb.,Out,56- 75 ( 50- 82),28.6,26,-11.1,-22.1
1261,Cytochrome c oxidase assembly protein Ct...,Cytochrome c oxidase assembly protein CO...,COX11_HUMAN,Mito. inner memb.,In,94- 112 ( 84- 113),28.6,19,-13.5,-18.0
1263,PET100,"Protein PET100 homolog, mitochondrial",PT100_HUMAN,Mito. inner memb.,Out,9- 28 ( 8- 29),27.5,27,-12.9,-22.0
1264,Stomatin family,Erlin-1,ERLN1_HUMAN,ER memb.,In,3- 20 ( 2- 24),29.1,3,-13.0,-21.2
1266,Stomatin family,Podocin,PODO_HUMAN,Plasma memb.,In,101- 127 ( 100- 133),35.4,29,-19.4,-32.2
1267,Stomatin family,Stomatin,STOM_HUMAN,Plasma memb.,In,33- 56 ( 31- 62),34.4,26,-17.0,-30.9
1268,Stomatin family,Stomatin-like protein 1,STML1_HUMAN,Plasma memb.,Out,58- 80 ( 55- 81),33.5,20,-11.6,-28.0
1269,Stomatin family,Stomatin-like protein 3,STML3_HUMAN,Plasma memb.,Out,30- 53 ( 27- 59),34.5,25,-20.3,-31.9
1270,Mitochondrial inner membrane translocase...,Mitochondrial import inner membrane tran...,TIM50_HUMAN,Mito. inner memb.,In,63- 86 ( 59- 87),30.5,33,-11.8,-20.1
1271,Dullard-like phosphatase,CTD nuclear envelope phosphatase 1,CNEP1_HUMAN,Nucleus outer memb.,Out,6-28 (3-32),30.2,6,-7.8,-12.9
1272,Mitochondrial inner membrane translocase...,Mitochondrial import inner membrane tran...,TIM21_HUMAN,Mito. inner memb.,In,109- 131 ( 103- 132),27.6,34,-18.4,-26.9
1273,Mitochondrial import inner membrane tran...,Coiled-coil-helix-coiled-coil-helix doma...,CHC10_HUMAN,Mito. memb.,Und,44- 65 ( 42- 72),28.5,35,-5.1,-15.8
1274,Mitochondrial inner membrane translocase...,Mitochondrial import inner membrane tran...,TIM29_HUMAN,Mito. inner memb.,In,61-76(58-77),27.5,13,-4.1,-12.7
1276,Copper chaperone SCO1/SenC,"Protein SCO2 homolog, mitochondrial",SCO2_HUMAN,Mito. inner memb.,In,58- 77 ( 55- 84),28.6,26,-12.9,-19.7
1278,AAA domain-containing proteins,Outer mitochondrial transmembrane helix...,ATAD1_HUMAN,Peroxisome memb.,Out,16- 35 ( 15- 36),30.0,11,-9.2,-20.0
1279,AAA and DUF3523 domain proteins,ATPase family AAA domain-containing prot...,ATD3A_HUMAN,Mito. inner memb.,Out,293- 314 ( 291- 315),27.5,24,-12.8,-19.7
1280,AAA and DUF3523 domain proteins,ATPase family AAA domain-containing prot...,ATD3B_HUMAN,Mito. inner memb.,Out,246- 262 ( 243- 265),27.4,3,-11.3,-17.2
1281,AAA and DUF3523 domain proteins,ATPase family AAA domain-containing prot...,ATD3C_HUMAN,Membrane,Out,70- 86 ( 67- 90),27.9,4,-6.1,-14.4
1282,Spastin,Spastin,SPAST_HUMAN,Endosome memb.,Out,63- 81 ( 61- 83),29.0,12,-11.4,-22.1
1283,Peptidase FtsH,ATP-dependent zinc metalloprotease YME1L...,YMEL1_HUMAN,Mito. inner memb.,In,293- 308 ( 287- 310),26.6,8,-21.4,-25.4
1288,Mitochondrial outer membrane translocase...,Mitochondrial import receptor subunit TO...,TOM70_HUMAN,Mito. outer memb.,Out,40- 59 ( 37- 68),28.3,26,-14.7,-25.1
1292,BNIP3 family,BCL2/adenovirus E1B 19 kDa protein-inter...,BNI3L_HUMAN,Mito. outer memb.,In,182- 210 ( 181- 212),29.0,39,-16.5,-27.8
1293,Mitochondrial dynamic protein,Mitochondrial dynamics protein MID49,MID49_HUMAN,Mito. outer memb.,Out,24- 50 ( 14- 54),30.5,40,-15.8,-26.7
1294,Mitochondrial dynamic protein,Mitochondrial dynamics protein MID51,MID51_HUMAN,Mito. outer memb.,Out,23- 48 ( 21- 51),29.4,39,-14.1,-23.7
1295,"Inositol 1,4,5-triphosphate receptor-int...","Inositol 1,4,5-trisphosphate receptor-in...",IPRI_HUMAN,Plasma memb.,Out,84- 104 ( 81- 108),32.2,5,-8.8,-17.7
1296,"Inositol 1,4,5-triphosphate receptor-int...","Inositol 1,4,5-trisphosphate receptor-in...",IPIL1_HUMAN,Plasma memb.,Out,106- 126 ( 104- 130),33.2,5,-3.5,-17.7
1297,"Inositol 1,4,5-triphosphate receptor-int...","Inositol 1,4,5-trisphosphate receptor-in...",IPIL2_HUMAN,Plasma memb.,Out,50- 65 ( 49- 72),30.8,14,-10.7,-17.9
1299,Kish protein,Protein kish-A,KISHA_HUMAN,Golgi memb.,Out,56- 70 ( 55- 71),26.8,9,-5.5,-15.1
1300,Kish protein,Protein kish-B,KISHB_HUMAN,Golgi memb.,Out,53- 71 ( 50- 72),30.1,8,-10.6,-20.2
1301,Peroxin-3,Peroxisomal biogenesis factor 3,PEX3_HUMAN,Peroxisome memb.,Out,13-32(8-43),30.2,9,-3.1,-15.6
1302,Selenoprotein T,Thioredoxin reductase-like selenoprotein...,SELT_HUMAN,ER memb.,Out,84-102(81-104),30.2,15,-4.2,-14.7
1303,SREBP regulating gene protein,SREBP regulating gene protein,SPRNG_HUMAN,Golgi memb.,In,16-34(7-37),30.1,14,-10.7,-23.1
1304,Syntaxin family,Syntaxin-10,STX10_HUMAN,Golgi memb.,In,229- 247 ( 224- 248),29.9,6,-18.6,-26.1
1305,Syntaxin family,Syntaxin-12,STX12_HUMAN,Vesicle memb.,In,251- 272 ( 250- 275),31.1,21,-20.7,-28.0
1306,Syntaxin family,Syntaxin-16,STX16_HUMAN,Golgi memb.,In,302- 321 ( 293- 324),30.8,16,-24.2,-30.9
1307,Syntaxin family,Syntaxin-18,STX18_HUMAN,ER memb.,In,311- 331 ( 310- 333),30.1,18,-13.9,-24.3
1308,Syntaxin family,Syntaxin-1A,STX1A_HUMAN,Vesicle memb.,In,262- 282 ( 257- 283),30.1,10,-11.2,-18.6
1309,Syntaxin family,Syntaxin-1B,STX1B_HUMAN,Plasma memb.,In,261- 284 ( 257- 285),33.4,16,-8.7,-18.5
1312,Syntaxin family,Syntaxin-4,STX4_HUMAN,Plasma memb.,In,272- 293 ( 262- 295),34.4,10,-14.6,-22.1
1314,Syntaxin family,Syntaxin-6,STX6_HUMAN,Vesicle memb.,In,235- 253 ( 230- 254),29.9,6,-21.2,-29.8
1316,Syntaxin family,Syntaxin-8,STX8_HUMAN,Vesicle memb.,In,214- 231 ( 213- 232),30.2,14,-19.2,-26.1
1318,BET1 family,BET1-like protein,BET1L_HUMAN,Golgi memb.,In,87- 105 ( 82- 109),29.8,1,-16.3,-25.4
1319,Synaptobrevin,Vesicle-associated membrane protein 1,VAMP1_HUMAN,Vesicle memb.,In,97- 116 ( 93- 117),30.9,19,-18.8,-27.8
1320,Synaptobrevin,Vesicle-associated membrane protein 2,VAMP2_HUMAN,Vesicle memb.,In,93- 112 ( 87- 115),30.6,21,-20.5,-28.3
1321,Synaptobrevin,Vesicle-associated membrane protein 3,VAMP3_HUMAN,Plasma memb.,In,77- 97 ( 74- 99),33.5,6,-19.5,-28.4
1322,Synaptobrevin,Vesicle-associated membrane protein 4,VAMP4_HUMAN,Vesicle memb.,In,116- 136 ( 114- 140),30.6,25,-26.9,-30.6
1323,Synaptobrevin,Vesicle-associated membrane protein 5,VAMP5_HUMAN,Plasma memb.,In,72- 92 ( 65- 93),34.5,14,-21.8,-30.9
1324,Synaptobrevin,Vesicle-associated membrane protein 7,VAMP7_HUMAN,Vesicle memb.,In,187- 204 ( 183- 205),29.2,1,-14.5,-22.1
1325,Synaptobrevin,Vesicle-associated membrane protein 8,VAMP8_HUMAN,Vesicle memb.,In,76- 97 ( 71- 98),30.2,31,-20.5,-31.2
1326,Synaptobrevin,Vesicle-trafficking protein SEC22b,SC22B_HUMAN,ER memb.,In,193- 211 ( 191- 212),30.2,19,-17.6,-26.3
1327,"Golgi SNAP receptor complex, subunit 1",Golgi SNAP receptor complex member 1,GOSR1_HUMAN,Golgi memb.,In,230- 248 ( 229- 249),29.0,14,-12.0,-20.5
1329,GOSR2/Membrin/Bos1,Vesicle transport through interaction wi...,VTI1A_HUMAN,Vesicle memb.,In,192- 212 ( 188- 216),31.2,21,-20.3,-27.7
1330,GOSR2/Membrin/Bos1,Vesicle transport through interaction wi...,VTI1B_HUMAN,Vesicle memb.,In,206- 228 ( 203- 229),31.0,26,-12.4,-19.7
1331,Vesicle transport protein Use1,Vesicle transport protein USE1,USE1_HUMAN,ER memb.,In,233- 253 ( 229- 254),31.0,5,-20.8,-29.4
1332,T-SNARE with DNA-binding domain,t-SNARE domain-containing protein 1,TSNA1_HUMAN,Membrane,In,488- 510 ( 482- 512),30.9,25,-14.1,-22.5
1334,Synaptotagmin,Synaptotagmin-10,SYT10_HUMAN,Vesicle memb.,Out,55- 79 ( 51- 80),31.1,36,-14.2,-26.6
1336,Synaptotagmin,Synaptotagmin-12,SYT12_HUMAN,Vesicle memb.,Out,23- 42 ( 20- 46),28.8,15,-7.4,-18.1
1339,Synaptotagmin,Synaptotagmin-15,SYT15_HUMAN,Plasma memb.,Out,3- 28 ( 2- 36),34.4,35,-10.0,-22.4
1340,Synaptotagmin,Synaptotagmin-2,SYT2_HUMAN,Vesicle memb.,Out,62- 80 ( 61- 92),31.1,14,-14.0,-24.5
1341,Synaptotagmin,Synaptotagmin-3,SYT3_HUMAN,Vesicle memb.,Out,53- 75 ( 49- 78),30.1,35,-10.1,-22.6
1342,Synaptotagmin,Synaptotagmin-4,SYT4_HUMAN,Vesicle memb.,Out,18- 37 ( 15- 43),31.2,23,-9.5,-23.1
1343,Synaptotagmin,Synaptotagmin-5,SYT5_HUMAN,Vesicle memb.,Out,29- 49 ( 28- 56),31.2,24,-11.4,-23.7
1344,Synaptotagmin,Synaptotagmin-6,SYT6_HUMAN,Vesicle memb.,Out,59- 83 ( 56- 84),31.2,36,-19.7,-31.2
1346,Synaptotagmin,Synaptotagmin-8,SYT8_HUMAN,Vesicle memb.,Out,47- 67 ( 45- 71),29.8,19,-9.2,-18.4
1347,Synaptotagmin,Synaptotagmin-9,SYT9_HUMAN,Vesicle memb.,Out,52- 74 ( 48- 76),31.1,25,-8.7,-21.9
1348,Extended synaptotagmin family,Extended synaptotagmin-1,ESYT1_HUMAN,ER memb.,Out,74- 92 ( 73- 100),30.2,11,-11.0,-20.6
1349,Extended synaptotagmin family,Extended synaptotagmin-2,ESYT2_HUMAN,ER memb.,Out,132- 149 ( 131- 153),29.0,2,-11.6,-21.2
1351,Synaptotagmin-like lipid-binding,C2 domain-containing protein 2,C2CD2_HUMAN,Membrane,Out,16-36(12-41),31.0,19,-15.2,-23.0
1352,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED1_HUMAN,Plasma memb.,Out,196- 216 ( 195- 217),32.4,15,-10.9,-20.1
1353,TMP21-related,Transmembrane emp24 domain-containing pr...,TMEDA_HUMAN,Golgi memb.,Out,183- 205 ( 180- 210),30.2,25,-12.2,-23.5
1354,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED2_HUMAN,Vesicle memb.,Out,171- 190 ( 166- 193),31.1,11,-13.5,-22.2
1356,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED4_HUMAN,ER memb.,Out,197- 216 ( 191- 218),30.1,6,-9.8,-19.3
1358,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED6_HUMAN,ER memb.,Out,204- 223 ( 202- 225),29.1,14,-10.5,-19.1
1359,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED7_HUMAN,ER memb.,Out,189- 210 ( 185- 216),29.1,26,-6.7,-20.8
1360,TMP21-related,Transmembrane emp24 domain-containing pr...,TMED9_HUMAN,ER memb.,Out,205- 224 ( 199- 226),30.1,6,-11.8,-19.7
1361,Golgin subfamily A,Golgin subfamily A member 5,GOGA5_HUMAN,Golgi memb.,In,696- 716 ( 695- 719),31.2,36,-21.3,-27.8
1362,Golgin subfamily B,Golgin subfamily B member 1,GOGB1_HUMAN,Golgi memb.,In,3236-3256 (3235-3257),30.9,18,-16.4,-25.5
1364,Calcium-binding proteins,Calcium-binding protein 8,CABP8_HUMAN,Golgi memb.,In,190- 212 ( 187- 216),31.1,25,-14.2,-24.6
1366,CASP family,Protein CASP,CASP_HUMAN,Golgi memb.,In,617- 639 ( 611- 640),31.1,23,-11.2,-23.0
1367,Zinc finger protein-like 1 family,Zinc finger protein-like 1,ZFPL1_HUMAN,Golgi memb.,In,263- 282 ( 261- 287),30.9,18,-19.8,-25.6
1368,Neuron-specific endosomal protein,Neuronal vesicle trafficking-associated...,NSG1_HUMAN,Golgi memb.,In,82- 104 ( 77- 110),32.1,24,-18.6,-31.4
1369,Neuron-specific endosomal protein,Neuronal vesicle trafficking-associated...,NSG2_HUMAN,Golgi memb.,In,69- 91 ( 67- 95),31.0,34,-18.3,-28.9
1370,Neuron-specific endosomal protein,Neuron-specific vesicular protein calcyo...,CALY_HUMAN,Vesicle memb.,In,86- 105 ( 84- 106),30.1,13,-16.2,-22.5
1371,Ferlin family,Dysferlin,DYSF_HUMAN,Vesicle memb.,In,2044-2065 (2040-2066),31.1,25,-27.5,-36.0
1372,Ferlin family,Fer-1-like protein 4,FR1L4_HUMAN,Vesicle memb.,In,1755-1779 (1749-1780),31.1,25,-21.4,-31.7
1373,Ferlin family,Fer-1-like protein 5,FR1L5_HUMAN,Vesicle memb.,In,1996-2015 (1994-2018),31.1,16,-17.8,-28.7
1374,Ferlin family,Fer-1-like protein 6,FR1L6_HUMAN,Vesicle memb.,In,1823-1844 (1821-1845),30.2,24,-26.0,-33.6
1376,Ferlin family,Otoferlin,OTOF_HUMAN,Vesicle memb.,In,1966-1985 (1960-1986),31.1,15,-31.8,-32.9
1377,Vesicle-associated membrane protein,Vesicle-associated membrane protein-asso...,VAPA_HUMAN,Vesicle memb.,In,228- 247 ( 227- 248),30.2,19,-15.1,-26.6
1378,Vesicle-associated membrane protein,Vesicle-associated membrane protein-asso...,VAPB_HUMAN,ER memb.,In,222- 240 ( 217- 242),29.9,5,-17.1,-25.4
1379,Motile sperm domain-containing protein 2,Motile sperm domain-containing protein 2,MSPD2_HUMAN,ER memb.,In,493- 515 ( 486- 517),31.2,25,-17.4,-27.4
1380,Triple QxxK/R motif family,Triple QxxK/R motif-containing protein,TRIQK_HUMAN,ER memb.,Und,51- 70 ( 50- 74),31.1,1,-19.2,-27.8
1381,Transmembrane protein 106,Transmembrane protein 106A,T106A_HUMAN,Vesicle memb.,In,93- 114 ( 89- 115),31.8,25,-13.7,-28.0
1382,Transmembrane protein 106,Transmembrane protein 106B,T106B_HUMAN,Lysosome memb.,In,96- 116 ( 92- 117),31.2,26,-13.8,-26.7
1383,Transmembrane protein 106,Transmembrane protein 106C,T106C_HUMAN,ER memb.,In,86- 106 ( 84- 107),30.7,19,-15.2,-25.1
1386,Melanogenesis proteins,Melanocyte protein PMEL,PMEL_HUMAN,Melanosome memb.,Out,596- 615 ( 595- 619),30.2,15,-19.2,-25.6
1388,Protein melan-A,Melanoma antigen recognized by T-cells 1,MAR1_HUMAN,Melanosome memb.,Out,27- 46 ( 24- 51),31.1,6,-15.7,-23.1
1389,Syntaphilin/Syntabulin,Syntabulin,SYBU_HUMAN,Vesicle memb.,In,608- 627 ( 605- 630),30.0,11,-6.9,-23.6
1392,Guanine nucleotide-exchange factor SEC12...,Prolactin regulatory element-binding pro...,PREB_HUMAN,ER memb.,In,391- 410 ( 390- 412),30.9,25,-21.7,-27.5
1393,Ankyrin repeat and LEM domain-containing...,Ankyrin repeat and LEM domain-containing...,ANKL2_HUMAN,ER memb.,Out,12- 31 ( 9- 35),30.0,21,-9.9,-19.6
1395,Plasmalemmal vesicle-associated protein,Plasmalemma vesicle-associated protein,PLVAP_HUMAN,Plasma memb.,In,26- 48 ( 23- 49),33.4,15,-18.7,-29.3
1396,Dyslexia-associated protein,Dyslexia-associated protein KIAA0319,K0319_HUMAN,Plasma memb.,Out,955- 976 ( 951- 985),33.3,10,-15.2,-26.0
1397,Equatorin,Equatorin,EQTN_HUMAN,Vesicle memb.,Out,179- 204 ( 175- 209),30.9,30,-19.6,-28.8
1398,Membrane-associated diazepam binding inh...,Acyl-CoA-binding domain-containing prote...,ACBD5_HUMAN,Peroxisome memb.,In,505- 523 ( 504- 530),29.1,5,-12.3,-22.7
1399,Mitochondrial Rho GTPase family,Mitochondrial Rho GTPase 1,MIRO1_HUMAN,Mito. outer memb.,In,594- 612 ( 590- 617),29.4,14,-16.1,-25.1
1400,Mitochondrial Rho GTPase family,Mitochondrial Rho GTPase 2,MIRO2_HUMAN,Mito. outer memb.,In,590- 609 ( 586- 616),28.6,29,-16.8,-25.2
1401,ADP-ribosylation factor,ADP-ribosylation factor-like protein 10,ARL10_HUMAN,Plasma memb.,Out,7- 29 ( 6- 38),34.5,24,-11.1,-22.6
1402,Fetal and adult testis-expressed transcr...,Fetal and adult testis-expressed transcr...,FATE1_HUMAN,ER memb.,Und,159- 180 ( 158- 181),30.2,10,-7.5,-17.9
1404,Protein MGARP,Protein MGARP,HUMMR_HUMAN,Mito. outer memb.,In,44- 66 ( 42- 68),27.2,32,-8.2,-17.3
1405,Mitochondrial fission protein,Mitochondrial fission 1 protein,FIS1_HUMAN,Mito. outer memb.,In,124- 146 ( 123- 151),29.5,34,-12.8,-20.4
1406,MICOS complex subunit MIC60 mitofilin,MICOS complex subunit MIC60,MIC60_HUMAN,Mito. inner memb.,In,41- 66 ( 38- 67),30.5,35,-7.2,-18.7
1407,MICOS complex subunit MIC13,MICOS complex subunit MIC13,MIC13_HUMAN,Mito. inner memb.,Und,9-27(6-30),27.6,25,-5.1,-14.3
1408,Sorting nexin,Sorting nexin-13,SNX13_HUMAN,Endosome memb.,Und,19- 37 ( 16- 38),30.0,7,-12.6,-27.0
1409,PDZ domain-containing protein 8,PDZ domain-containing protein 8,PDZD8_HUMAN,ER memb.,Out,2-23(2-23),28.9,34,-13.6,-21.9
1411,FXYD regulator family,FXYD domain-containing ion transport reg...,FXYD3_HUMAN,Plasma memb.,Out,39- 58 ( 38- 60),33.4,8,-10.5,-18.3
1412,FXYD regulator family,FXYD domain-containing ion transport reg...,FXYD4_HUMAN,Plasma memb.,Out,37- 57 ( 32- 62),33.0,15,-6.2,-16.5
1413,FXYD regulator family,FXYD domain-containing ion transport reg...,FXYD5_HUMAN,Plasma memb.,Out,143- 163 ( 138- 166),33.4,5,-14.2,-22.5
1414,FXYD regulator family,FXYD domain-containing ion transport reg...,FXYD6_HUMAN,Plasma memb.,Out,37- 57 ( 33- 60),33.1,9,-15.0,-25.4
1415,FXYD regulator family,FXYD domain-containing ion transport reg...,FXYD7_HUMAN,Plasma memb.,Out,27- 48 ( 24- 54),33.2,10,-20.7,-26.8
1416,FXYD regulator family,Phospholemman,PLM_HUMAN,Plasma memb.,Out,36- 57 ( 32- 60),33.5,5,-16.6,-25.5
1417,FXYD regulator family,Putative FXYD domain-containing ion tran...,FXYD8_HUMAN,Plasma memb.,Out,35- 55 ( 33- 58),32.4,5,-3.2,-18.5
1420,Phospholamban family,Sarcoplasmic/endoplasmic reticulum calci...,DWORF_HUMAN,ER memb.,Out,10-32(8-33),32.1,13,-15.2,-26.9
1422,"ATPase, P-type, beta subunits",Potassium-transporting ATPase subunit be...,ATP4B_HUMAN,Plasma memb.,In,36- 62 ( 33- 65),33.4,35,-13.3,-27.0
1424,"ATPase, P-type, beta subunits",Sodium/potassium-transporting ATPase sub...,AT1B1_HUMAN,Plasma memb.,In,34- 60 ( 31- 63),34.4,36,-10.7,-24.9
1426,"ATPase, P-type, beta subunits",Sodium/potassium-transporting ATPase sub...,AT1B3_HUMAN,Plasma memb.,In,29- 61 ( 27- 65),35.5,41,-12.2,-28.5
1427,Myoregulin,Myoregulin,MLN_HUMAN,ER memb.,In,24- 44 ( 19- 45),30.2,21,-13.2,-20.1
1428,Calcium channel alpha-2/delta subunit,Voltage-dependent calcium channel subuni...,CA2D1_HUMAN,Plasma memb.,Out,1080-1099 (1079-1101),32.3,7,-4.5,-14.3
1429,Calcium channel alpha-2/delta subunit,Voltage-dependent calcium channel subuni...,CA2D2_HUMAN,Plasma memb.,Out,1118-1133 (1117-1134),31.8,4,-5.1,-12.1
1430,Calcium channel alpha-2/delta subunit,Voltage-dependent calcium channel subuni...,CA2D3_HUMAN,Plasma memb.,Out,1070-1089 (1069-1090),31.1,5,-8.8,-18.8
1431,Calcium channel alpha-2/delta subunit,Voltage-dependent calcium channel subuni...,CA2D4_HUMAN,Plasma memb.,Out,1114-1136 (1114-1136),31.4,10,1.5,-16.2
1432,Calcium channel alpha-2/delta subunit,VWFA and cache domain-containing protein...,CAHD1_HUMAN,Membrane,Out,1099-1118 (1098-1124),29.8,11,-10.6,-19.1
1433,"Potassium channel KCNE, beta subunit",Potassium voltage-gated channel subfamil...,KCNE1_HUMAN,Plasma memb.,Out,42- 65 ( 38- 70),34.5,20,-18.2,-29.7
1434,"Potassium channel KCNE, beta subunit",Potassium voltage-gated channel subfamil...,KCNE2_HUMAN,Plasma memb.,Out,47- 72 ( 43- 76),34.4,26,-22.2,-30.0
1436,"Potassium channel KCNE, beta subunit",Potassium voltage-gated channel subfamil...,KCNE4_HUMAN,Plasma memb.,Out,88- 108 ( 85- 115),33.5,4,-16.9,-25.1
1438,Auxiliary protein of voltage-activated p...,Leucine-rich repeat-containing protein 2...,LRC26_HUMAN,Plasma memb.,Out,265- 287 ( 261- 295),33.4,19,-4.1,-16.8
1439,Auxiliary protein of voltage-activated p...,Leucine-rich repeat-containing protein 3...,LRC38_HUMAN,Plasma memb.,Out,246- 275 ( 243- 278),34.5,35,-11.0,-24.7
1440,Auxiliary protein of voltage-activated p...,Leucine-rich repeat-containing protein 5...,LRC52_HUMAN,Plasma memb.,Out,245- 266 ( 243- 269),34.3,6,-12.2,-23.8
1441,Auxiliary protein of voltage-activated p...,Leucine-rich repeat-containing protein 5...,LRC55_HUMAN,Plasma memb.,Out,271- 293 ( 269- 296),33.5,15,-8.2,-18.9
1444,Sodium channel beta subunits,Sodium channel subunit beta-1,SCN1B_HUMAN,Plasma memb.,Out,159- 181 ( 156- 189),33.5,19,-19.0,-26.0
1445,Sodium channel beta subunits,Sodium channel subunit beta-3,SCN3B_HUMAN,Plasma memb.,Out,158- 180 ( 156- 183),33.4,23,-22.0,-27.6
1446,TRP channel-interacting helix,Putative transmembrane protein INAFM1,INAM1_HUMAN,Plasma memb.,Und,32- 53 ( 31- 54),33.5,21,-11.7,-20.0
1448,Cation channel sperm-associated protein...,Cation channel sperm-associated auxiliar...,CTSRG_HUMAN,Plasma memb.,Out,1063-1088 (1061-1089),34.4,29,-15.2,-27.4
1450,Cation channel sperm-associated protein...,Cation channel sperm-associated auxiliar...,CTSRE_HUMAN,Plasma memb.,Out,904- 929 ( 902- 930),34.5,25,-27.4,-37.0
1451,Amino acid transport auxiliary protein,4F2 cell-surface antigen heavy chain,4F2_HUMAN,Plasma memb.,In,182- 203 ( 177- 207),34.4,16,-18.9,-26.5
1452,Amino acid transport auxiliary protein,Neutral and basic amino acid transport p...,SLC31_HUMAN,Plasma memb.,In,89- 109 ( 85- 111),33.1,4,-18.2,-26.2
1453,Organic solute transporter subunit beta...,Organic solute transporter subunit beta,OSTB_HUMAN,Plasma memb.,Out,37- 58 ( 34- 64),33.1,9,-15.1,-25.0
1454,Scramblase family,Phospholipid scramblase 1,PLS1_HUMAN,Plasma memb.,In,286- 306 ( 284- 308),32.5,6,-5.2,-14.9
1456,Scramblase family,Phospholipid scramblase 3,PLS3_HUMAN,Mito. outer memb.,In,265- 282 ( 262- 285),28.6,16,-12.4,-18.6
1457,Scramblase family,Phospholipid scramblase 4,PLS4_HUMAN,Plasma memb.,In,301- 320 ( 299- 321),30.4,10,-2.6,-12.7
1458,Scramblase family,Phospholipid scramblase family member 5,PLS5_HUMAN,Plasma memb.,In,247- 268 ( 243- 270),33.3,20,-4.3,-17.0
1459,Cell cycle control protein 50C/LEM3 fami...,Cell cycle control protein 50C,CC50C_HUMAN,Plasma memb.,In,31- 56 ( 24- 59),34.4,20,-13.7,-29.0
1460,GRAM domain-containing proteins,GRAM domain-containing protein 2A,GRM2A_HUMAN,ER memb.,In,309- 331 ( 307- 337),30.1,24,-14.4,-25.3
1463,GRAM domain-containing proteins,Protein Aster-B,ASTRB_HUMAN,Plasma memb.,In,624- 646 ( 617- 648),30.9,30,-16.3,-26.7
1466,"Multicopper oxidase, type 2",Hephaestin,HEPH_HUMAN,Plasma memb.,Out,1107-1131 (1105-1138),34.4,26,-18.5,-27.5
1467,Store-operated calcium regulatory factor,Store-operated calcium entry-associated...,SARAF_HUMAN,ER memb.,Out,173- 193 ( 168- 194),30.1,24,-15.9,-25.3
1468,Oxysterol-binding protein,Oxysterol-binding protein-related protei...,OSBL5_HUMAN,ER memb.,In,859- 877 ( 858- 878),30.0,1,-7.9,-16.3
1469,Oxysterol-binding protein,Oxysterol-binding protein-related protei...,OSBL8_HUMAN,ER memb.,In,871- 887 ( 870- 888),29.1,3,-13.5,-19.8
1470,Stromal interaction molecule,Stromal interaction molecule 1,STIM1_HUMAN,ER memb.,Out,214- 231 ( 212- 239),29.2,9,-8.3,-17.6
1471,Stromal interaction molecule,Stromal interaction molecule 2,STIM2_HUMAN,ER memb.,Out,216- 235 ( 213- 241),30.2,11,-7.0,-19.1
1472,"V-type ATPase, subunit S1",V-type proton ATPase subunit S1,VAS1_HUMAN,Vacuole memb.,Out,428- 449 ( 427- 451),30.2,26,-18.2,-28.0
1473,"V-type ATPase, subunit S1",V-type proton ATPase subunit S1-like pro...,VAS1L_HUMAN,Vacuole memb.,Out,148- 170 ( 147- 176),31.1,35,-21.0,-28.5
1475,"Mitochondrial F1F0-ATP synthase, subunit...","ATP synthase subunit f, mitochondrial",ATPK_HUMAN,Mito. inner memb.,Und,64- 83 ( 61- 92),30.4,9,-9.1,-19.3
1476,F-type ATPase protein MI25 family,"ATP synthase F(0) complex subunit B1, mi...",AT5F1_HUMAN,Mito. inner memb.,Und,97- 114 ( 85- 116),27.5,15,-10.6,-18.7
1477,Mitochondrial proteolipid,"ATP synthase subunit ATP5MJ, mitochondri...",ATP68_HUMAN,Mito. inner memb.,Und,22- 37 ( 16- 48),25.4,5,-10.9,-17.4
1478,DAPIT,"ATP synthase membrane subunit K, mitocho...",ATPMK_HUMAN,Mito. inner memb.,Und,28-47 (21-51),29.4,4,-10.7,-16.6
1479,"ATPase, F0 complex, subunit G, mitochond...","ATP synthase subunit g, mitochondrial",ATP5L_HUMAN,Mito. inner memb.,Und,72- 88 ( 70- 89),26.5,1,-7.2,-13.9
1480,MICU1 family,"Calcium uptake protein 1, mitochondrial",MICU1_HUMAN,Mito. inner memb.,In,30- 52 ( 26- 57),29.6,29,-13.4,-21.5
1482,MICU1 family,"Calcium uptake protein 3, mitochondrial",MICU3_HUMAN,Mito. inner memb.,In,65- 84 ( 53- 86),29.4,19,-7.3,-15.5
1483,EMRE family,"Essential MCU regulator, mitochondrial",EMRE_HUMAN,Mito. inner memb.,Und,66- 84 ( 63- 87),27.5,27,-14.5,-26.0
1484,Mitochondrial regulator family,Coiled-coil domain-containing protein 90...,CC90B_HUMAN,Mito. memb.,In,233- 252 ( 228- 253),28.5,20,-16.9,-23.2
1485,Mitochondrial regulator family,Mitochondrial calcium uniporter regulato...,MCUR1_HUMAN,Mito. inner memb.,In,338- 357 ( 329- 358),27.6,24,-14.9,-22.3
